"Geolocation","Commodity Description","2020 Jan","2020 Feb","2020 Mar","2020 Apr","2020 May","2020 Jun","2020 Jul","2020 Aug","2020 Sep","2020 Oct","2020 Nov","2020 Dec","2021 Jan","2021 Feb","2021 Mar","2021 Apr","2021 May","2021 Jun","2021 Jul","2021 Aug","2021 Sep","2021 Oct","2021 Nov","2021 Dec","2022 Jan","2022 Feb","2022 Mar","2022 Apr","2022 May","2022 Jun","2022 Jul","2022 Aug","2022 Sep","2022 Oct","2022 Nov","2022 Dec","2023 Jan","2023 Feb","2023 Mar","2023 Apr","2023 May","2023 Jun","2023 Jul","2023 Aug","2023 Sep","2023 Oct","2023 Nov","2023 Dec","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec"
"..Cordillera Administrative Region (CAR)","01.1.1.12 - Rice",90.2649211324068,89.7997916223991,88.9030226765315,90.1631856008950,89.3501085066948,89.9999045919639,90.4825446849186,90.7004764767440,90.9793668201209,90.5972846962719,90.4406068207662,90.1726436986138,89.7006278246610,89.1834802755894,90.2938979821694,90.7541862037811,91.3118752059764,90.8895042432534,91.4925989209627,92.0061915797708,92.2158670861719,92.3137993368357,92.2091380285308,92.7023255716301,93.0610233380980,93.5232961925415,93.6941941177556,94.1022427148776,94.4600911840285,94.5531959681275,94.6658945370287,94.8009066140062,94.9232057686277,95.2208496985161,95.2074786629595,95.2411443672976,95.0714942260902,95.6107536045446,96.1179437041059,96.4989502378890,96.4984533893506,96.7225841252747,97.1045476693991,99.0202699198872,107.8690120040070,107.4324589977730,108.6589528766370,111.1484934512640,113.7205749353600,117.4031649061480,119.3903263726550,119.0535589502950,119.1887179110890,118.4269192527800,117.9785251392090,117.8009655205870,118.6635332548330,119.2461673456680,118.6709980845680,118.7433662121120
"..Cordillera Administrative Region (CAR)","01.1.1.16 - Corn",112.3169766362880,114.7961276458510,115.5794556943130,117.6753747952070,116.5475790679590,123.7331659641130,124.6752463256220,122.4136449785920,122.4502257874050,122.2086348999880,127.4273173343270,134.0779578670930,135.7938257186300,135.4783175870130,135.3890998293080,137.9097498067230,139.4722422139710,138.9020761072220,140.9287831548890,142.6256199637030,143.7459960391760,145.7864618086420,146.0454390663210,147.3110365938080,148.2130957919860,149.0829689620700,149.9366121142990,150.8493488744030,152.1376558049190,153.6796163635430,156.1322065097960,157.4393581803070,158.2683566422100,162.1960175339630,169.5326459658050,167.9962761722850,167.3529293455990,168.9320793074380,169.1402608207000,169.0539185919050,170.7203283303950,171.1184495624320,168.1019329855740,170.9521719393160,170.6133562305550,172.3061785891680,174.2350998540020,177.0868922959150,177.1845542476040,184.8343376151650,186.3278360793250,186.4699957934440,186.7675855029930,185.7491332898380,185.9760893569510,184.4590760725280,181.7797500638240,181.0504405230720,183.2145827366070,184.1866567019810
"..Region I (Ilocos Region)","01.1.1.12 - Rice",94.4393426877658,93.8298457056181,93.9293410877044,93.6279155059477,94.4711239211286,95.9088721979838,96.1436380854711,95.4174364675541,95.1382187477050,94.6825687526355,94.5130262051378,95.0566779346406,93.4486295044410,95.4692062705598,95.3890885581373,96.5914727998639,95.3798923060153,94.2617504771929,95.0919778036577,96.9329076270381,97.8032291057981,96.9585622926689,96.7925642185740,96.4491345285756,95.3323420583475,95.5835078469877,97.1018852955043,97.1870611908004,96.7801373738804,96.7693287346862,97.1358127954555,98.8744772669281,99.3577594391435,99.4128493498177,99.3382864763777,99.5136456889776,99.4068982220426,99.7033115077727,99.9897859011088,99.9100661062360,100.0983447815990,100.5211261967640,100.9415011629810,113.9388456105720,121.6086231876400,114.9335659949690,115.4448318766380,118.9222852073140,124.3982722693310,126.0426827636940,126.8210076050180,127.2257690547560,126.5616122076780,125.6120164674650,124.7214557047810,125.7977450165150,125.3651849604930,124.6169481966100,122.8842637587520,121.7412876347780
"..Region I (Ilocos Region)","01.1.1.16 - Corn",105.8940129228770,109.7976981758750,108.5756295976260,111.0778921762250,111.8537794299050,114.7768980543260,119.0502003928720,119.4504068739680,119.1480491930510,117.5764170110830,117.3978277468520,115.6596220418990,117.3937655456610,125.2364229358460,120.9559619810740,123.9695438439310,124.8215249581420,123.3347560732130,123.1562081909180,127.8359529886110,127.8359529886110,127.8359529886110,133.2280495416350,136.0875258996480,133.2406137272090,133.4022048884260,132.2808142597280,131.3410573463660,131.5795219792490,119.7278250211690,122.1627613079440,121.6780675719280,122.5825626252400,118.0241372137610,121.9610591823440,122.4276900520960,120.7055839471250,119.7829337086840,119.7829337086840,118.5021509601330,117.8715451829190,119.1893078526700,117.4020491653460,120.1670941082840,120.1670941082840,120.1670941082840,122.4964116783430,125.5325953399010,122.4964116783430,127.2164671888470,131.1118993145350,159.3372168198840,163.2478529969020,163.8582303337170,159.2137006676210,149.4433540006030,140.1866994589440,142.0506346752680,144.0346605491470,144.4056225717430
"..Region II (Cagayan Valley)","01.1.1.12 - Rice",88.0406555759682,87.1132321316627,87.8960249094067,89.1886061064232,88.1952713778185,87.7717854106266,90.4837077945977,90.3851800751844,91.0568733162026,90.7946087457320,90.3317685218362,91.1481658173305,91.8749705701697,91.4974989330750,90.9829870475807,91.0424420020205,90.7358484347854,89.8816006569193,89.9441973541040,90.3197587737000,91.3386408748570,91.2569187627585,89.7480325116124,89.8065499748486,90.1924895419269,90.7541078178840,90.4658888683477,90.6765657036984,90.3219304789642,89.6540740320593,90.0552280050392,89.8485377186432,89.9364791612085,90.7338048764529,91.2326071641564,91.6485648077976,91.4564407504675,93.0902159424138,94.4293927294545,94.9332861057176,94.7863629438504,96.3867356074928,96.5646309405104,100.6578430041000,109.5492127719660,105.4054866216840,110.7336624717150,115.1695346996150,117.8038121363080,119.2140956974420,119.2937410180470,119.9459503821560,119.4920803392700,118.3650634055520,117.9642080498860,117.0825906028080,117.4396281163580,116.6939042870420,113.8003053399240,113.0360915368350
"..Region II (Cagayan Valley)","01.1.1.16 - Corn",107.2096081881100,108.6174741316020,109.6920589999990,110.2757288800630,109.9322821308950,110.7022728587160,113.0023687850270,112.2766707613800,113.1504454443580,112.9354821027450,112.9599928584560,113.1280431535080,113.3903140440660,113.5372025311180,115.5096691261700,115.6892439122550,114.6630029244050,117.1069449880490,117.8623982443420,122.9752012303370,126.3220304810350,126.7226158578400,127.1977503551280,127.0581581152290,128.8958590348970,129.0675649340950,128.3233052255700,130.0648564124350,132.1528864752470,131.4077754528750,131.5710270240570,132.2309224654200,132.1908622444150,132.4647681181690,132.6794748711550,132.9802597239500,133.0748165458540,136.8771669645460,139.0241602190390,145.2165043067410,148.0028715137570,162.0125970571330,165.9691429624010,168.3323705207890,168.6521605806770,170.5620336037160,169.9291223002060,172.8290470691940,179.3564875562690,183.8518211236700,183.7212879552690,182.0513608537020,175.6784986754030,175.9675502260350,175.8761010983710,174.8706347158920,172.6051430359100,172.2284307163330,171.9277910460480,169.9235023150610
"..Region III (Central Luzon)","01.1.1.12 - Rice",92.5849803482650,92.5829844110424,92.6508241692244,93.1695794846199,94.1859550337085,94.1634670820457,95.4663705505960,95.4764803338067,94.9056616925268,94.0144075805781,93.9286467338849,94.5528818318115,94.9691722830437,95.1927200293180,94.6891829534670,94.7170837063025,95.3346259291685,94.9869384207126,95.7891702756608,96.8132565137766,96.6450787932095,96.9222201893640,96.5654418523180,96.3725072938490,97.0764782705048,97.7365812979599,97.4624013961169,99.0346038091962,98.5833543688534,98.3772537508367,98.7225702189220,99.3671698859990,100.2506454505550,100.0095479203910,100.1190705194930,100.5566150113800,99.7223360156821,99.6768272311757,99.9719325203707,100.3211128979840,100.8902719511490,102.0428795960530,103.4671371748330,110.1458625394350,122.4653339320020,113.1500746749190,117.4417738163230,123.4932731296970,127.2332837528770,127.4606046150630,126.0045151472230,126.7435448973280,125.9067146105570,126.3479620739540,125.7214907518180,123.7550064776060,123.6053602742220,122.4632134850100,118.7986758699570,118.7233039403410
"..Region III (Central Luzon)","01.1.1.16 - Corn",108.2739567381590,102.3941185448250,99.8401660394275,101.2397395584550,102.9660896337220,102.8850113232920,100.6785539972310,99.6437628099660,100.1761006985690,100.0166291619790,102.0167239004710,106.1185114326600,109.9636783413950,102.4063038931760,100.7346719536580,101.8075996207260,99.8602727963712,98.0354316148919,101.2899468319450,111.8115614391940,111.1012662706450,112.0637770467080,124.6196625028740,125.8432521465780,129.1210210368470,117.6921375542740,114.5475679704450,112.9990365210350,108.6248450257020,108.1275696723020,113.7483459997440,114.2271641832250,118.2403624006920,131.1374966488610,147.1176998633660,144.5540614082880,139.1401689930330,137.0932246733490,136.3121630025610,133.5841404784440,127.3167849063820,130.6641630233600,126.7542567236100,135.1782564069240,140.5276161883030,145.4739526722650,147.7907026948780,146.6341988251900,147.7773781700630,140.2578994792350,136.3843286168920,137.4713851943370,136.7048668012470,137.0429018681540,141.7454586252020,145.2343831954370,151.5455554696240,168.3260344952040,173.5602234841990,180.5145504140710
"..Region IV-A (CALABARZON)","01.1.1.12 - Rice",94.0463659826878,94.0050651180350,93.9250827146457,94.4613716815868,94.5934306512239,94.6238144288920,94.7747398057446,94.8464369335289,94.8796100718746,93.9112426756402,93.4362002155252,93.5471956491140,93.8463656459698,94.2073062707052,94.0971099840493,94.4177539192686,94.3631851386549,94.3808313138450,94.3217641147126,94.6268151649059,94.8642779907053,94.5635004534661,94.8446171048926,94.7276441551866,94.8322456131697,95.1583416665255,95.1467877256124,95.0868906909960,95.2593033616461,95.8425381137889,96.0608086040569,96.7331890798864,96.5993145885980,96.9831919331787,97.4148612191633,97.2928439824207,97.5027724248582,97.8501620526106,98.1670388159037,98.8006080464079,98.6521914981713,99.4184760146705,100.0206676769520,103.4815041626090,110.1653519326850,105.2165614987320,108.8061012566360,112.1490499168240,114.5685481911130,114.5747056936870,116.3996252877530,117.7411905397060,118.1911735980030,118.5263028098240,117.8566953145880,116.8048953164130,116.8436027189390,116.1623568204050,116.0480988511020,115.5813233163820
"..Region IV-A (CALABARZON)","01.1.1.16 - Corn",105.4803037864420,106.2076875633390,104.0875516471830,109.0872742591230,109.9347892862640,110.1864420969340,106.3192560615590,104.3921918961890,105.0323706873000,110.9283484599620,111.8064375880450,115.2711983832220,121.8139503207640,116.4942701223960,112.8080745592120,113.9081501931020,113.2301529688390,108.7759414560960,104.1693294117340,113.8945694212370,113.4157132947480,118.7440188646280,118.1101059134330,116.7301878861830,118.7947088261940,117.8065988321970,118.7346968977330,118.6639641600310,116.1100242280550,118.8382286032230,122.4918419136150,122.8894018360350,122.6650389940460,124.0305632890170,133.2251139966140,137.1801568808490,138.7890907706470,138.0976545128670,140.0299604959120,138.4968597723290,141.1217850363480,138.6928853272930,138.9087665155050,138.9844455459480,139.7024677571360,139.0891555711470,137.5288207491560,139.8628012449030,144.6022290100950,139.3942659013140,142.7949095241060,141.1854273102050,142.5987905220470,142.8975075596770,145.9668368868060,150.3752949004320,146.9456984860350,149.8655080581550,151.8041275228040,156.2516224968860
"..MIMAROPA Region","01.1.1.12 - Rice",88.2018340863851,88.0058535320083,86.8069963949042,91.0552281088906,94.4397393741508,96.2904342935401,96.5235542268097,96.9243086826452,97.3272602421079,97.6640576468174,97.2056506310213,95.9103354048903,93.0127219831262,92.6918952650707,93.1225186249348,93.4303857526407,93.2040885450036,92.8300392555259,92.3348377929020,92.3348377929020,92.3348377929020,92.4050185372535,92.5177250270606,92.5493220651348,93.3628922300083,95.2554704671389,93.8499398750340,94.2704818419447,93.3737570693094,92.9525085692783,93.4094708552646,96.3356327624894,96.7800400922803,97.9429194617015,98.9267151982409,98.8590906222951,99.1473590283288,98.7209236979988,99.2568447849418,100.1136147889550,101.0382430909450,101.8900253101400,102.6969906323760,103.1410442177540,108.3730145350330,107.3279951540790,107.2539062735890,109.7193396211360,110.3960108109070,114.3532093310070,121.9595581615260,120.9228438107060,121.0228873152600,121.1592384732620,121.8076381852180,121.0443844478610,120.3009607752850,117.7050597501830,112.2510701632330,109.1195885721850
"..MIMAROPA Region","01.1.1.16 - Corn",138.0012070698950,138.9853611352180,139.4284357839250,140.0330537506880,141.1139046630820,141.1387192556190,142.4946336678860,139.9860141717000,139.2696087808580,141.8615128036290,144.4944175862880,159.0212442144780,161.3593117052710,162.5433731833600,169.1234870166420,168.8964791546370,169.5331054588030,169.9169208452810,169.0630977759990,169.0630977759990,169.0630977759990,169.4368810201490,169.7067332519490,170.5908598974930,172.0782712816360,175.0900445957180,174.5725220470120,174.7807386986590,176.4158243692940,179.3975337503090,180.3931154242770,180.7338690637960,182.3816053331870,183.9188896741340,188.9361531157220,192.3694027664280,194.0404516830810,195.9621338260100,198.1437777528830,198.4433524789530,197.5770149728380,197.2689890420560,201.3537195065390,195.0505917443510,196.9952119399020,197.6456165399730,191.4330233975770,191.4657776710240,192.4117999807760,193.8196245030040,194.1649025719840,198.8224477119940,198.9777023969600,196.5054513167480,198.3069653741500,195.8975437135060,196.5172522011850,199.2430171510710,200.9630273524300,201.2156619721250
"..Region V (Bicol Region)","01.1.1.12 - Rice",89.9456122715681,89.6770069513475,89.2090326654472,90.2140272790232,91.7871991586924,92.6421253253325,92.8186437888627,92.9926358609639,92.5585672161840,92.8079335192969,93.2163038656930,92.8344376055667,93.2116448038818,92.5477951843966,93.7213313559671,93.3838666501901,92.3869500584949,92.5992186876172,92.7642325106114,92.7642325106114,92.7642325106114,92.9375659110297,92.9101423285432,93.1025466660282,93.3378928018192,93.9123823821126,94.8684786828783,94.6867066689868,94.3413112438218,94.3314691607547,94.6405497947216,94.8664894956880,94.6564479291108,94.3794079017986,94.6559455351593,94.9405538571994,94.7850816276176,95.4472575626945,95.4529398584403,96.3940814695489,96.8986230946808,96.9393689143747,97.2972017055910,101.5457152257580,111.8410521835280,109.0540192413310,115.6798181436940,121.9135800837690,126.9791872971790,127.8930381288970,130.4653669059660,128.6266130751730,125.1043192635180,125.1720652749520,124.3230424320780,122.9530104464480,123.9964524399710,123.1086292806890,122.3124344279040,119.6968163484350
"..Region V (Bicol Region)","01.1.1.16 - Corn",99.1871392626027,98.3028375080386,99.9402466704721,103.1849725773930,104.0128020684360,105.2069965882350,108.7769749576260,108.9850576427140,110.0272020131460,108.3290089547350,109.6243506359660,111.9882124558130,110.9187274716980,108.8327199084500,105.5751988450430,107.6312492378540,109.1111140757290,109.0691504658300,109.6538448543370,109.6538448543370,109.6538448543370,109.6538448543370,109.6538448543370,109.8267606775940,110.0745778829590,109.5430757090340,109.0556415843230,108.5521037438580,109.1396517748590,109.7275673049510,110.9614886880160,112.7735305734770,111.9319679557630,113.8047836068360,113.7648343548330,114.5018298973530,116.5523132805980,117.1027052149890,117.4232388774840,118.5473303206510,118.9247007236640,120.6135887230850,119.5224193801720,121.0851277522340,123.1936365468780,124.0543461034700,127.7014129905800,127.3713954419930,129.1826244833680,129.2596996949580,129.1203859498170,129.6572976060060,130.4998126601900,129.8983370934010,130.2348140561060,131.7562747527390,131.5838215775060,133.9013375854610,135.7017107643900,135.8735567698290
"..Region VI (Western Visayas)","01.1.1.12 - Rice",91.8647252672848,90.8208534528740,91.1286938943602,92.5687444399393,92.8005205217380,92.9771978567674,93.2029540499566,92.8442288385502,92.6299261707943,92.2214987067836,91.3251309635753,90.8251807939476,88.2410477391161,88.8118821787333,88.6197441480182,88.8434914719460,88.7183833413646,88.8420430775853,88.8787932296333,88.5804311109354,86.3148715952021,87.0241717774462,87.1252860510517,87.1001382105453,87.7856718040572,89.4018782070838,90.7911182154526,90.6937425616084,91.1287211881695,92.5511702868417,92.9351582695150,92.8308727887221,92.3296809865535,92.0640204591747,92.4968071027816,92.6448966859216,92.5593001642576,92.3452867814031,92.8401896510608,93.5928710676317,95.7281173689715,96.3171154773400,97.6252282758420,100.3951854427800,103.0169983210020,98.6547226246525,100.6209751773290,103.6754931288700,105.6419199458480,108.5819439271970,110.7963485108390,112.7032893665720,115.2538173349750,116.1890900539760,116.0638687370540,115.8266310175170,115.7213804620160,116.0248234374690,113.5958106588980,112.3803233280440
